vehicle_id,ts,speed_kmh,engine_temp_c,fuel_level_pct,odometer_km,lat,lon
VToomey-01,2024-06-01T08:00:00,52.3,89.1,76.0,120345.0,48.8566,2.3522
VToomey-01,2024-06-01T08:05:00,61.0,90.4,75.4,120349.2,48.8570,2.3540
VToomey-01,2024-06-01T08:10:00,0.0,118.7,75.1,120352.0,48.8575,2.3551
VToomey-01,2024-06-01T08:15:00,44.2,112.3,74.8,120356.1,48.8580,2.3560
VToomey-02,2024-06-01T08:00:00,70.5,88.0,40.2,98231.0,48.8606,2.3376
VToomey-02,2024-06-01T08:05:00,72.1,88.6,39.9,98237.0,48.8610,2.3390
VToomey-02,2024-06-01T08:10:00,68.9,87.4,39.5,98242.5,48.8615,2.3402
VToomey-02,2024-06-01T08:15:00,75.0,89.2,4.1,98248.0,48.8620,2.3415
VToomey-03,2024-06-01T08:00:00,30.0,85.0,90.0,15004.0,48.8499,2.3490
VToomey-03,2024-06-01T08:05:00,33.4,85.6,89.7,15007.2,48.8505,2.3500
VToomey-03,2024-06-01T08:10:00,29.8,86.1,89.4,15010.0,48.8510,2.3512
VToomey-03,2024-06-01T08:15:00,31.2,140.5,89.0,15013.4,48.8515,2.3525
